#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 05 00 999 99.0 99.0  0.62  4.76  3.23 133 9999.0 999.0  23.0 999.0 99.0 99.00
2019 01 05 05 30 999 99.0 99.0  0.65  4.55  3.14 136 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 05 06 00 999 99.0 99.0  0.63  4.55  3.09 139 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 05 06 30 999 99.0 99.0  0.61  4.76  3.08 135 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 05 07 00 999 99.0 99.0  0.58  2.56  3.11 233 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 05 07 30 999 99.0 99.0  0.55  2.38  2.96 242 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 05 08 00 999 99.0 99.0  0.56  2.56  2.85 244 9999.0 999.0  22.9 999.0 99.0 99.00
2019 01 05 08 30 999 99.0 99.0  0.50  2.70  2.87 242 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 05 09 00 999 99.0 99.0  0.44  2.50  2.84 242 9999.0 999.0  22.8 999.0 99.0 99.00
2019 01 05 09 30 999 99.0 99.0  0.43  2.22  2.71 257 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 05 10 00 999 99.0 99.0  0.37  2.27  2.79 258 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 05 10 30 999 99.0 99.0  0.36  2.04  2.90 265 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 05 11 00 999 99.0 99.0  0.36  2.22  2.97 250 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 05 11 30 999 99.0 99.0  0.34  2.17  2.86 242 9999.0 999.0  22.7 999.0 99.0 99.00
2019 01 05 12 00 999 99.0 99.0  0.38  2.17  2.83 240 9999.0 999.0  22.6 999.0 99.0 99.00
2019 01 05 12 30 999 99.0 99.0  0.36  2.00  2.79 242 9999.0 999.0  22.6 999.0 99.0 99.00
