#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
#yr	mo	dy	hr	mn	deg	T m/s	m/s	m	sec	sec	deg	T   hPa	degC	degC	degC	mi	ft
2019	1	3	18	30	999	99	99	0.77	5.56	4.03	115	9999	999	24.5	999	99	99
2019	1	3	19	0	999	99	99	0.8	5.56	3.93	112	9999	999	24.5	999	99	99
2019	1	3	19	30	999	99	99	0.78	5.56	3.73	109	9999	999	24.3	999	99	99
2019	1	3	20	0	999	99	99	0.84	5.56	3.81	101	9999	999	24.3	999	99	99
2019	1	3	20	30	999	99	99	0.79	5	3.77	91	9999	999	24.3	999	99	99
2019	1	3	21	0	999	99	99	0.83	3.7	3.77	133	9999	999	24.1	999	99	99
2019	1	3	21	30	999	99	99	0.83	3.7	3.59	132	9999	999	24.1	999	99	99
2019	1	3	22	0	999	99	99	0.82	3.57	3.68	135	9999	999	24	999	99	99
2019	1	3	22	30	999	99	99	0.85	3.85	3.67	146	9999	999	24	999	99	99
2019	1	3	23	0	999	99	99	0.85	4	3.56	144	9999	999	24	999	99	99
2019	1	3	23	30	999	99	99	0.88	4	3.55	149	9999	999	24	999	99	99
2019	1	4	0	0	999	99	99	0.91	3.7	3.66	140	9999	999	24	999	99	99
2019	1	4	0	30	999	99	99	0.86	3.85	3.56	140	9999	999	24	999	99	99
2019	1	4	1	0	999	99	99	0.85	3.7	3.5	146	9999	999	23.9	999	99	99
2019	1	4	1	30	999	99	99	0.81	3.7	3.49	149	9999	999	23.9	999	99	99
2019	1	4	2	0	999	99	99	0.81	3.85	3.47	143	9999	999	23.9	999	99	99
2019	1	4	2	30	999	99	99	0.82	3.57	3.48	149	9999	999	23.9	999	99	99
2019	1	4	3	0	999	99	99	0.84	3.57	3.47	143	9999	999	23.9	999	99	99
2019	1	4	3	30	999	99	99	0.81	3.57	3.46	147	9999	999	23.9	999	99	99
2019	1	4	4	0	999	99	99	0.74	3.7	3.51	143	9999	999	23.9	999	99	99
2019	1	4	4	30	999	99	99	0.73	4.17	3.46	129	9999	999	23.9	999	99	99
2019	1	4	5	0	999	99	99	0.67	3.85	3.48	125	9999	999	24	999	99	99
2019	1	4	5	30	999	99	99	0.71	3.85	3.38	132	9999	999	24	999	99	99
2019	1	4	6	0	999	99	99	0.75	3.7	3.29	128	9999	999	24	999	99	99
2019	1	4	6	30	999	99	99	0.74	3.45	3.23	133	9999	999	24	999	99	99
2019	1	4	7	0	999	99	99	0.68	3.45	3.35	137	9999	999	24.1	999	99	99
2019	1	4	7	30	999	99	99	0.64	3.45	3.37	129	9999	999	24.1	999	99	99
2019	1	4	8	0	999	99	99	0.59	5	3.39	115	9999	999	24.2	999	99	99
2019	1	4	8	30	999	99	99	0.55	7.14	3.68	74	9999	999	24.2	999	99	99
2019	1	4	9	0	999	99	99	0.5	9.88	3.88	73	9999	999	24.2	999	99	99
2019	1	4	9	30	999	99	99	0.48	8.33	4.06	74	9999	999	24.2	999	99	99
2019	1	4	10	0	999	99	99	0.46	7.14	4.36	73	9999	999	24.2	999	99	99
2019	1	4	10	30	999	99	99	0.46	8.33	4.63	71	9999	999	24.2	999	99	99
2019	1	4	11	0	999	99	99	0.47	8.33	4.54	70	9999	999	24.2	999	99	99
2019	1	4	11	30	999	99	99	0.51	5.88	4.18	70	9999	999	24.3	999	99	99
2019	1	4	12	0	999	99	99	0.52	8.33	3.73	70	9999	999	24.3	999	99	99
2019	1	4	12	30	999	99	99	0.55	8.33	3.59	76	9999	999	24.4	999	99	99
2019	1	4	13	0	999	99	99	0.59	8.33	3.44	76	9999	999	24.3	999	99	99
2019	1	4	13	30	999	99	99	0.62	8.33	3.4	73	9999	999	24.2	999	99	99
2019	1	4	14	0	999	99	99	0.63	7.69	3.31	73	9999	999	24.2	999	99	99
2019	1	4	14	30	999	99	99	0.71	7.69	3.45	77	9999	999	24.2	999	99	99
2019	1	4	15	30	999	99	99	0.77	7.69	3.81	71	9999	999	24.2	999	99	99
2019	1	4	16	0	999	99	99	0.78	4.55	3.92	121	9999	999	24.3	999	99	99
2019	1	4	16	30	999	99	99	0.76	6.67	3.85	70	9999	999	24.3	999	99	99
2019	1	4	17	0	999	99	99	0.75	7.14	3.96	64	9999	999	24.4	999	99	99
2019	1	4	17	30	999	99	99	0.74	7.69	4.05	69	9999	999	24.4	999	99	99
2019	1	4	18	0	999	99	99	0.75	6.67	3.96	70	9999	999	24.5	999	99	99
2019	1	4	18	30	999	99	99	0.8	4.17	4.08	118	9999	999	24.5	999	99	99
2019	1	4	19	0	999	99	99	0.78	4.17	3.85	122	9999	999	24.5	999	99	99
2019	1	4	19	30	999	99	99	0.82	3.85	3.82	125	9999	999	24.6	999	99	99
2019	1	4	20	0	999	99	99	0.79	4.35	3.64	121	9999	999	24.7	999	99	99
2019	1	4	20	30	999	99	99	0.77	4.17	3.53	130	9999	999	24.7	999	99	99
2019	1	4	21	0	999	99	99	0.79	3.85	3.55	129	9999	999	24.8	999	99	99
2019	1	4	21	30	999	99	99	0.74	4	3.41	133	9999	999	24.7	999	99	99
2019	1	4	22	0	999	99	99	0.77	4	3.46	136	9999	999	24.6	999	99	99
2019	1	4	22	30	999	99	99	0.76	4	3.48	132	9999	999	24.5	999	99	99
2019	1	4	23	0	999	99	99	0.71	3.7	3.42	133	9999	999	24.4	999	99	99
2019	1	4	23	30	999	99	99	0.69	3.85	3.43	140	9999	999	24.4	999	99	99
2019	1	5	0	0	999	99	99	0.69	4.17	3.53	135	9999	999	24.3	999	99	99
2019	1	5	0	30	999	99	99	0.68	3.85	3.5	140	9999	999	24.2	999	99	99
2019	1	5	1	0	999	99	99	0.63	7.69	3.51	70	9999	999	24.2	999	99	99
2019	1	5	1	30	999	99	99	0.58	3.85	3.64	135	9999	999	24.2	999	99	99
2019	1	5	2	0	999	99	99	0.53	3.57	3.56	135	9999	999	24.2	999	99	99
2019	1	5	2	30	999	99	99	0.5	7.69	3.49	64	9999	999	24.1	999	99	99
2019	1	5	3	0	999	99	99	0.51	8.33	3.49	73	9999	999	24.1	999	99	99
2019	1	5	3	30	999	99	99	0.54	3.7	3.28	132	9999	999	24.1	999	99	99
2019	1	5	4	0	999	99	99	0.62	8.33	3.12	76	9999	999	24	999	99	99
2019	1	5	4	30	999	99	99	0.61	2.56	3.09	208	9999	999	23.9	999	99	99
2019	1	5	5	0	999	99	99	0.64	2.7	3.09	195	9999	999	23.9	999	99	99
2019	1	5	5	30	999	99	99	0.67	3.03	3.18	174	9999	999	23.9	999	99	99
2019	1	5	6	0	999	99	99	0.62	2.63	3.14	202	9999	999	23.8	999	99	99
2019	1	5	6	30	999	99	99	0.61	2.44	3.12	236	9999	999	23.9	999	99	99
2019	1	5	7	0	999	99	99	0.61	2.5	3.03	237	9999	999	23.9	999	99	99
2019	1	5	7	30	999	99	99	0.62	2.78	3.04	251	9999	999	23.8	999	99	99
2019	1	5	8	0	999	99	99	0.61	2.7	3.04	240	9999	999	23.8	999	99	99
2019	1	5	8	30	999	99	99	0.58	2.7	3.04	246	9999	999	23.8	999	99	99
2019	1	5	9	0	999	99	99	0.62	2.78	2.99	272	9999	999	23.8	999	99	99
2019	1	5	9	30	999	99	99	0.66	3.03	3.09	282	9999	999	23.7	999	99	99
2019	1	5	10	0	999	99	99	0.62	3.33	3.11	301	9999	999	23.6	999	99	99
2019	1	5	10	30	999	99	99	0.59	3.23	3.05	308	9999	999	23.6	999	99	99
2019	1	5	11	0	999	99	99	0.65	3.45	3.23	327	9999	999	23.5	999	99	99
2019	1	5	11	30	999	99	99	0.64	3.7	3.25	337	9999	999	23.5	999	99	99
2019	1	5	12	0	999	99	99	0.62	3.57	3.17	337	9999	999	23.5	999	99	99
2019	1	5	12	30	999	99	99	0.59	3.12	3.16	336	9999	999	23.5	999	99	99
2019	1	5	13	0	999	99	99	0.61	3.33	3.21	343	9999	999	23.4	999	99	99
2019	1	5	13	30	999	99	99	0.56	3.85	3.2	348	9999	999	23.4	999	99	99
2019	1	5	14	0	999	99	99	0.54	3.45	3.13	346	9999	999	23.4	999	99	99
2019	1	5	14	30	999	99	99	0.54	8.33	3.27	70	9999	999	23.4	999	99	99
2019	1	5	15	0	999	99	99	0.52	2.17	3.11	261	9999	999	23.4	999	99	99
2019	1	5	15	30	999	99	99	0.52	2.38	3.01	256	9999	999	23.4	999	99	99
2019	1	5	16	0	999	99	99	0.52	2.38	2.88	261	9999	999	23.4	999	99	99
2019	1	5	16	30	999	99	99	0.56	2.7	2.9	257	9999	999	23.4	999	99	99
2019	1	5	17	0	999	99	99	0.63	2.86	2.98	268	9999	999	23.4	999	99	99
2019	1	5	17	30	999	99	99	0.63	3.03	2.96	287	9999	999	23.4	999	99	99
2019	1	5	18	0	999	99	99	0.62	3.12	2.93	302	9999	999	23.5	999	99	99
2019	1	5	18	30	999	99	99	0.61	3.12	2.98	320	9999	999	23.4	999	99	99
2019	1	5	19	0	999	99	99	0.6	3.23	3.02	327	9999	999	23.4	999	99	99
2019	1	5	19	30	999	99	99	0.6	3.03	3.09	327	9999	999	23.4	999	99	99
2019	1	5	20	0	999	99	99	0.58	3.45	3.09	341	9999	999	23.4	999	99	99
2019	1	5	20	30	999	99	99	0.59	3.57	3.13	346	9999	999	23.4	999	99	99
2019	1	5	21	0	999	99	99	0.58	3.57	3.02	346	9999	999	23.4	999	99	99
2019	1	5	21	30	999	99	99	0.58	3.45	3.07	347	9999	999	23.4	999	99	99
2019	1	5	22	0	999	99	99	0.6	3.85	3.15	351	9999	999	23.3	999	99	99
2019	1	5	22	30	999	99	99	0.63	2.56	3.08	291	9999	999	23.3	999	99	99
2019	1	5	23	0	999	99	99	0.6	3.57	3.03	343	9999	999	23.3	999	99	99
2019	1	5	23	30	999	99	99	0.58	3.7	3.09	344	9999	999	23.2	999	99	99
2019	1	6	0	0	999	99	99	0.56	3.7	3.14	348	9999	999	23.2	999	99	99
2019	1	6	0	30	999	99	99	0.58	3.57	3.26	347	9999	999	23.2	999	99	99
2019	1	6	1	0	999	99	99	0.61	4	3.2	354	9999	999	23.2	999	99	99
2019	1	6	1	30	999	99	99	0.64	3.33	3.2	341	9999	999	23.2	999	99	99
2019	1	6	2	0	999	99	99	0.68	3.45	3.34	341	9999	999	23.2	999	99	99
2019	1	6	2	30	999	99	99	0.72	3.12	3.24	343	9999	999	23.2	999	99	99
2019	1	6	3	0	999	99	99	0.75	3.57	3.35	347	9999	999	23.2	999	99	99
2019	1	6	3	30	999	99	99	0.8	3.7	3.4	346	9999	999	23.2	999	99	99
2019	1	6	4	0	999	99	99	0.81	3.7	3.44	348	9999	999	23.2	999	99	99
2019	1	6	4	30	999	99	99	0.81	3.7	3.49	347	9999	999	23.1	999	99	99
2019	1	6	5	0	999	99	99	0.78	4.17	3.55	354	9999	999	23.1	999	99	99
2019	1	6	5	30	999	99	99	0.8	4.17	3.6	357	9999	999	23.1	999	99	99
2019	1	6	6	0	999	99	99	0.85	4.35	3.64	355	9999	999	23.1	999	99	99
2019	1	6	6	30	999	99	99	0.83	3.85	3.72	355	9999	999	23.1	999	99	99
2019	1	6	7	0	999	99	99	0.92	4	3.76	353	9999	999	23	999	99	99
2019	1	6	7	30	999	99	99	0.88	4.55	3.76	358	9999	999	23	999	99	99
2019	1	6	8	0	999	99	99	0.91	4.55	3.8	357	9999	999	23	999	99	99
2019	1	6	8	30	999	99	99	0.89	4.35	3.79	358	9999	999	23	999	99	99
2019	1	6	9	0	999	99	99	0.85	4.55	3.85	360	9999	999	23	999	99	99
2019	1	6	9	30	999	99	99	0.84	4.55	3.81	1	9999	999	22.9	999	99	99
2019	1	6	10	0	999	99	99	0.86	4.35	3.89	2	9999	999	22.9	999	99	99
2019	1	6	10	30	999	99	99	0.84	4.76	3.83	4	9999	999	22.9	999	99	99
2019	1	6	11	0	999	99	99	0.82	4.76	3.81	2	9999	999	22.9	999	99	99
2019	1	6	11	30	999	99	99	0.85	5	3.93	2	9999	999	22.9	999	99	99
2019	1	6	12	0	999	99	99	0.84	5	3.79	1	9999	999	22.9	999	99	99
2019	1	6	12	30	999	99	99	0.88	4.55	3.87	360	9999	999	22.9	999	99	99
2019	1	6	13	0	999	99	99	0.87	5.26	3.74	1	9999	999	22.9	999	99	99
2019	1	6	13	30	999	99	99	0.81	5	3.82	7	9999	999	22.9	999	99	99
2019	1	6	14	0	999	99	99	0.79	6.25	3.87	17	9999	999	22.9	999	99	99
2019	1	6	14	30	999	99	99	0.76	4.76	3.86	1	9999	999	22.9	999	99	99
2019	1	6	15	0	999	99	99	0.78	4.76	3.81	1	9999	999	22.9	999	99	99
2019	1	6	15	30	999	99	99	0.77	5.88	3.82	14	9999	999	23	999	99	99
2019	1	6	16	0	999	99	99	0.74	4	3.71	360	9999	999	23	999	99	99
2019	1	6	16	30	999	99	99	0.73	7.69	3.84	38	9999	999	23.1	999	99	99
2019	1	6	17	0	999	99	99	0.67	7.69	3.95	28	9999	999	23.2	999	99	99
2019	1	6	17	30	999	99	99	0.7	7.69	4.05	26	9999	999	23.2	999	99	99
