#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 06 57 999 99.0 99.0  1.17 15.38  9.74 264 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 07 27 999 99.0 99.0  1.13 13.33  9.28 267 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 03 07 57 999 99.0 99.0  1.12 14.29  9.52 261 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 03 08 27 999 99.0 99.0  0.99 14.29  8.95 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 08 57 999 99.0 99.0  1.15 14.29  9.99 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 09 27 999 99.0 99.0  1.04 14.29  8.93 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 09 57 999 99.0 99.0  1.00 13.33  8.67 269 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 10 27 999 99.0 99.0  1.12 14.29  9.56 265 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 10 57 999 99.0 99.0  1.06 14.29  9.67 264 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 11 27 999 99.0 99.0  1.19 14.29 10.48 267 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 11 57 999 99.0 99.0  1.03 12.50  9.25 264 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 03 12 27 999 99.0 99.0  1.03 14.29  9.48 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 12 57 999 99.0 99.0  1.08 14.29  9.83 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 13 27 999 99.0 99.0  1.07 14.29  9.63 264 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 13 57 999 99.0 99.0  1.14 14.29 10.01 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 14 27 999 99.0 99.0  1.21 14.29 10.67 267 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 03 14 57 999 99.0 99.0  1.18 14.29 10.53 268 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 03 15 27 999 99.0 99.0  1.08 13.33  9.66 264 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 03 15 57 999 99.0 99.0  1.25 13.33 10.26 271 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 03 16 27 999 99.0 99.0  1.22 14.29  9.70 267 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 03 16 57 999 99.0 99.0  1.12 15.38  9.31 262 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 03 17 27 999 99.0 99.0  1.06 13.33  9.20 268 9999.0 999.0  13.0 999.0 99.0 99.00
